title,company,location,url
Data Scientist,Ford Otosan,Sancaktepe,https://tr.linkedin.com/jobs/view/data-scientist-at-ford-otosan-4348205690?position=1&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=mSHVrGbF8ivob2X2mqgPHw%3D%3D
Data Scientist/Junior Data Scientist,Enerjisa Üretim,Ataşehir,https://tr.linkedin.com/jobs/view/data-scientist-junior-data-scientist-at-enerjisa-%C3%BCretim-4341107246?position=2&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=98cnzwhMprPJ0nNYWhgLfA%3D%3D
Junior Data Scientist,QNB Türkiye,,https://tr.linkedin.com/jobs/view/junior-data-scientist-at-qnb-t%C3%BCrkiye-4348340537?position=3&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=l4leqpIAQeIZvDGy%2B6QqsA%3D%3D
,,,https://tr.linkedin.com/jobs/view/junior-data-scientist-a%C4%B1-machine-learning-at-prometeia-4339373337?position=4&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=eC8skdajuubzbEM6x3JBTw%3D%3D
,,,https://tr.linkedin.com/jobs/view/data-scientist-executive-specialist-at-abdi-%C4%B1brahim-pharmaceuticals-4348326089?position=5&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=Bi9CXcDUIjSNsAM0HaHFyA%3D%3D
,,,https://tr.linkedin.com/jobs/view/data-scientist-at-migros-one-4341622108?position=6&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=Foq3jWnrk8ExvukneuRrBw%3D%3D
,,,https://tr.linkedin.com/jobs/view/data-engineer-at-%C4%B1nnovance-consultancy-4324979817?position=7&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=v82rGlppO9lOskPDHNM4Kg%3D%3D
,,,https://tr.linkedin.com/jobs/view/dijital-veri-bilimi-uzman%C4%B1-y%C3%B6netmeni-data-scientist-at-garanti-bbva-4335661780?position=8&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=nAitQCd5RdvIM9t61Xz9gA%3D%3D
,,,https://tr.linkedin.com/jobs/view/frontend-software-engineer-at-atlassian-4308991426?position=9&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=tq3rzPUd9CNpnuyrm0bACQ%3D%3D
,,,https://tr.linkedin.com/jobs/view/data-scientist-at-turknet-4312022818?position=10&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=t6Ys37c%2BoNs2ITW3poLVRg%3D%3D
,,,https://tr.linkedin.com/jobs/view/machine-learning-engineer-search-at-%C4%B1nsider-one-4240412586?position=11&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=jI7bzHJjanNMnDgEbShmVA%3D%3D
,,,https://tr.linkedin.com/jobs/view/principal-ml-a%C4%B1-software-engineer-at-atlassian-4340356756?position=12&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=0F3Hu1u67S%2FB5CkuQ%2FpM3Q%3D%3D
,,,https://tr.linkedin.com/jobs/view/data-engineer-at-dataspecta-4325168333?position=13&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=C0ZXtlM41YatIutXKj6s0w%3D%3D
,,,https://tr.linkedin.com/jobs/view/data-scientist-at-kitup-4318956697?position=14&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=IjZVLotp7NFqBgEX3d4o%2Bg%3D%3D
,,,https://tr.linkedin.com/jobs/view/lead-data-scientist-at-vertigo-games-4348113227?position=15&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=NOMe%2FF3LAUM6ee5ECKXuVw%3D%3D
,,,https://tr.linkedin.com/jobs/view/a%C4%B1-engineer-computer-vision-ml-at-architecht-4322158955?position=16&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=pD6njRDJvVVrKG1bfIQ7Ug%3D%3D
,,,https://tr.linkedin.com/jobs/view/senior-data-scientist-at-iyzico-4348242163?position=17&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=0OuuTRVCdsg7SrIlFEK5yg%3D%3D
,,,https://tr.linkedin.com/jobs/view/software-engineer-new-grad-at-dream-games-3976007336?position=18&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=272Tdh83rFaZaCcq3mUYUg%3D%3D
,,,https://tr.linkedin.com/jobs/view/data-scientist-at-otoplus-4347649592?position=19&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=fcJsiLsvdI6%2BiGvmPOPbGA%3D%3D
,,,https://tr.linkedin.com/jobs/view/data-scientist-at-re%C4%B1d%C4%B1n-data-analytics-4338862267?position=20&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=zWe5euzW9nIQdYRtomkUtA%3D%3D
,,,https://tr.linkedin.com/jobs/view/ml-engineer-at-arvato-4340204189?position=21&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=mnZyfU6DZgDZxXC3XBBgJg%3D%3D
,,,https://tr.linkedin.com/jobs/view/data-scientist-at-hopi-4348861618?position=22&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=pmiJxxt2M4I57YR%2Br9AnQA%3D%3D
,,,https://tr.linkedin.com/jobs/view/data-scientist-at-peak-4337331107?position=23&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=3cJQ1CmnvnHecXanMVpOuQ%3D%3D
,,,https://tr.linkedin.com/jobs/view/senior-data-scientist-%E2%80%93-a%C4%B1-development-at-%C4%B1ng-t%C3%BCrkiye-4348776031?position=24&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=vbCOcdXydN7iPoToMbiYpg%3D%3D
,,,https://tr.linkedin.com/jobs/view/data-scientist-at-cypher-games-4309325455?position=25&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=zBEF9HzLtbjK6ME7o6tLWw%3D%3D
,,,https://tr.linkedin.com/jobs/view/software-engineer-games-new-grad-at-peak-4227285827?position=26&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=5kbzFZRT7AABcWSoIqbCrA%3D%3D
,,,https://tr.linkedin.com/jobs/view/data-scientist-at-plusminusone-4347492024?position=27&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=4UtkuYDxSGKjPXLSqQ6fAw%3D%3D
,,,https://tr.linkedin.com/jobs/view/data-scientist-at-dream-games-4252649759?position=28&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=bDWNtTK%2B4Q0EXeryRbdAgg%3D%3D
,,,https://tr.linkedin.com/jobs/view/data-scientist-senior-data-scientist-at-y%C4%B1ld%C4%B1z-tech-4347423526?position=29&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=cOMWmpit08jVJM%2B3NO4%2F4w%3D%3D
,,,https://tr.linkedin.com/jobs/view/data-scientist-at-mars-athletic-club-4341099679?position=30&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=LC%2BoKRQ1naoGu7vkjKoCDw%3D%3D
,,,https://tr.linkedin.com/jobs/view/senior-data-scientist-crm-product-channel-analytics-at-%C4%B1ng-t%C3%BCrkiye-4348950640?position=31&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=zgOyK%2FZeBzGcgqpP631vKA%3D%3D
,,,https://tr.linkedin.com/jobs/view/junior-data-engineer-relocation-to-poland-at-talan-4325588241?position=32&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=q24enMTSXHPsuMesQdHhNA%3D%3D
,,,https://tr.linkedin.com/jobs/view/veri-bilimi-uzman%C4%B1-at-ebebek-4339592373?position=33&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=62Xiu4%2Fu0qTgEuZ5WS2U8Q%3D%3D
,,,https://tr.linkedin.com/jobs/view/data-engineer-at-trendyol-group-4325087203?position=34&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=FF2sTtFJV%2Bubpg4CUsLpQw%3D%3D
,,,https://tr.linkedin.com/jobs/view/data-scientist-at-rollic-4256441987?position=35&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=v8eHd7tYi5i871FQduEk9A%3D%3D
,,,https://tr.linkedin.com/jobs/view/machine-learning-engineer-at-novus-4316237555?position=36&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=qFsyXRydkBHWlUs9znYxRg%3D%3D
,,,https://tr.linkedin.com/jobs/view/data-scientist-at-fugo-games-4340265128?position=37&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=zi9BTGYWJIH35HkPJ%2FvFuA%3D%3D
,,,https://tr.linkedin.com/jobs/view/software-test-automation-engineer-at-sahibinden-com-4341307508?position=38&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=LQ%2BK9gx0RiiwDPyeceeQHA%3D%3D
,,,https://tr.linkedin.com/jobs/view/software-engineer-machine-learning-group-at-trendyol-group-4325845686?position=39&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=MQ69ImIztnS3FMEfWb5y2Q%3D%3D
,,,https://tr.linkedin.com/jobs/view/data-scientist-at-accenture-4322504546?position=40&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=Z30N4M2gUWSyfdgWXRYJZw%3D%3D
,,,https://tr.linkedin.com/jobs/view/sen%C4%B1or-data-sc%C4%B1ent%C4%B1st-at-turkcell-4323316402?position=41&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=GwK8IfBf6e226HDEIATXsw%3D%3D
,,,https://tr.linkedin.com/jobs/view/software-engineer-part-time-at-dream-games-3815780752?position=42&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=BTNHWcWpiQMJYnYR2GGJEg%3D%3D
,,,https://tr.linkedin.com/jobs/view/data-scientist-operations-research-optimization-at-y%C4%B1ld%C4%B1z-tech-4314366692?position=43&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=uqspKkDa%2Bhkd5yaK5B%2FRPQ%3D%3D
,,,https://tr.linkedin.com/jobs/view/data-analytics-engineer-at-sanipak-4341978363?position=44&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=O%2Fcocc1Ly1FL9Fg2e0SfZg%3D%3D
,,,https://tr.linkedin.com/jobs/view/a%C4%B1-software-engineer-python-at-dizayn-v%C4%B1p-4348259766?position=45&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=yN50DRyJISukwgtS4ALCVg%3D%3D
,,,https://tr.linkedin.com/jobs/view/senior-machine-learning-engineer-at-newmind-a%C4%B1-4291274883?position=46&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=WDrFSu2ZIX1UYi2KFqDamA%3D%3D
,,,https://tr.linkedin.com/jobs/view/data-engineer-growth-at-midas-4342404430?position=47&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=kJbhyT7dxvK%2FXuaH%2FIGJ5w%3D%3D
,,,https://tr.linkedin.com/jobs/view/software-engineer-at-midas-4314134684?position=48&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=MM3oKX120DMRCHdxx2EoKg%3D%3D
,,,https://tr.linkedin.com/jobs/view/data-engineer-w-m-d-at-forto-4334219051?position=49&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=XwPWo%2FmJ4yZzY2Q05UZ4gA%3D%3D
,,,https://tr.linkedin.com/jobs/view/junior-software-engineer-at-hitit-4339582826?position=50&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=XTT3a6VILtduFP0ZgHS8zg%3D%3D
,,,https://tr.linkedin.com/jobs/view/lead-software-engineer-a%C4%B1-data-product-at-massive-bio-4306796370?position=51&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=%2FH5yqdzik%2BtlIEjxoZqh6g%3D%3D
,,,https://tr.linkedin.com/jobs/view/software-quality-assurance-engineer-remote-at-%C4%B1nsider-one-4310459617?position=52&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=Zv9QQcre%2BEhi6ZIbU7Sb5w%3D%3D
,,,https://tr.linkedin.com/jobs/view/senior-a%C4%B1-ml-engineer-at-stealth-startup-4326270631?position=53&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=3F3o%2FL2NEad4AiODaZNctw%3D%3D
,,,https://tr.linkedin.com/jobs/view/junior-software-engineer-at-good-job-games-4336627320?position=54&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=5umjLdLXzwr3ibEKw6uG2g%3D%3D
,,,https://tr.linkedin.com/jobs/view/sen%C4%B1or-a%C4%B1-software-eng%C4%B1neer-at-turkcell-4348721157?position=55&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=yhHFnxTCZTXU3JIMOy%2FQ4A%3D%3D
,,,https://tr.linkedin.com/jobs/view/software-test-engineer-at-telpa-a-%C5%9F-4284432860?position=56&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=8SxIfJ7GB%2BWDkio2hJZxgw%3D%3D
,,,https://tr.linkedin.com/jobs/view/veri-bilimi-uzman%C4%B1-at-hepiyi-sigorta-4348517089?position=57&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=%2B9qV6p6O8NFGH3b0N4GJmg%3D%3D
,,,https://tr.linkedin.com/jobs/view/sen%C4%B1or-a%C4%B1-software-eng%C4%B1neer-at-turkcell-4348464990?position=58&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=Gbpkj1MoHn2fFjDwXFrtuQ%3D%3D
,,,https://tr.linkedin.com/jobs/view/software-engineer-frontend-at-iyzico-4347962089?position=59&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=sbQQZSUV389VUyNl46pWgw%3D%3D
,,,https://tr.linkedin.com/jobs/view/software-engineer-at-vodafone-4297760835?position=60&pageNum=0&refId=A6y9upAJr%2FaKuWYazTA%2FIw%3D%3D&trackingId=gGgk1nyUeEUXzWVzqmeYtQ%3D%3D
